Membership No  Date Joined  Active  
    51187      2015-3-2     no    
    17375      2020-12-12   no    
    29885      2015-6-4     yes   
    34982      2017-12-18   no    
    42438      2019-6-14    no    
    34713      2017-1-2     no    
    60258      2015-6-19    no    
    12385      2020-4-4     no    
    67717      2020-11-12   yes   
    66381      2015-2-8     no    
    39694      2016-12-15   yes   
    71684      2016-9-7     no    
    38948      2020-12-8    no    
    66023      2017-2-1     yes   
    84463      2016-10-25   no    
    68534      2015-7-11    no    
    62331      2019-1-6     yes   
    91594      2020-1-22    yes   
    39345      2020-7-18    yes   
    28343      2015-6-18    yes   
